rank,module_id,module_name,quality_score,suitability
1,M17,Digital Circular Business Models,0.3478329496169851,Moderate
2,OM1,Digital Sustainability Fundamentals,0.3408147680379874,Moderate
3,M28,Strategic Digital Sustainability Leadership,0.33726364906665685,Moderate
4,M43,Circular Economy Digital Applications,0.334759308711747,Moderate
5,M1,Introduction to Digital Sustainability,0.33166037940399407,Moderate
6,M23,Digital Twin and Smart Systems for Green Transition,0.32687417590900913,Moderate
7,M92,Digital Sustainability Foundation,0.32111875250274863,Moderate
8,M67,Digital Sustainability Legislation and Policy,0.2875775297604465,Moderate
9,M94,Circular Economy for Digital Systems,0.28626564714403924,Moderate
10,M25,Digital Sustainability in SMEs,0.2796825745949558,Moderate
11,M36,Eco-design for Digital Products,0.27831294858089084,Moderate
12,OM6,Eco-design for Digital Products,0.27831294858089084,Moderate
13,M14,Sustainable Digital Transformation Strategy,0.2783129485808908,Moderate
14,M54,Digital Sustainability Policy Development,0.2722629599139925,Moderate
15,M62,Digital Health for Planetary Health,0.2648243285049105,Moderate
16,M93,Digital Inclusion and Social Sustainability,0.23152399504839677,Poor
17,M44,Advanced Sustainability Impact Assessment,0.2245010590351993,Poor
18,M30,Human-Centered Design for Sustainable Tech,0.21296667877713266,Poor
19,M59,Digital Storytelling for Sustainability Impact,0.19027406516291856,Poor
20,M49,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version),0.177367048302803,Poor
21,M52,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Duplicate,0.177367048302803,Poor
22,M53,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Triple Duplicate,0.177367048302803,Poor
23,M24,Collaborative Tools for Green Innovation,0.15086522671324656,Poor
24,M20,Data Ethics and Governance in Practice,0.14924432837356869,Poor
25,M7,Ethics and Governance in Digital Innovation,0.14741268944919145,Poor
26,M91,Green ICT Principles,0.14307451512312333,Poor
27,M72,Sustainability Data Engineering and Architecture,0.1411781789320452,Poor
28,M10,Circular Economy and Lifecycle Thinking,0.13911390845336574,Poor
29,M63,Smart Manufacturing and Industry 4.0 Sustainability,0.13394794400290566,Poor
30,M11,Big Data for Environmental Intelligence,0.12417699596481942,Poor
31,M45,Big Data for Environmental Intelligence (EQF 4 Version),0.12417699596481942,Poor
32,M90,Sustainability Data Fundamentals,0.12266036739873128,Poor
33,M89,ESG Reporting Essentials,0.11686324126366998,Poor
