rank,module_id,module_name,quality_score,suitability
1,M65,Community-Based Participatory Sustainability Research,0.1259217045716172,Poor
2,M24,Collaborative Tools for Green Innovation,0.11877023253544086,Poor
3,M60,Systematic Innovation for Sustainability Challenges,0.11325487430827016,Poor
4,M33,Green Software Engineering,0.0996681297001401,Poor
5,OM3,Green Software Engineering,0.0996681297001401,Poor
6,M36,Eco-design for Digital Products,0.07985108245939378,Poor
7,OM6,Eco-design for Digital Products,0.07985108245939378,Poor
8,M37,Net-Zero IT Infrastructure,0.07304092004241214,Poor
9,OM7,Net-Zero IT Infrastructure,0.07304092004241214,Poor
10,M94,Circular Economy for Digital Systems,0.06989985791511903,Poor
11,M6,Systems Architecture for Sustainability,0.06839052821873112,Poor
12,M69,Sustainable IT Operations and DevOps,0.06804992638977762,Poor
13,M5,Sustainable Software Engineering,0.06714050144332352,Poor
14,M68,Regulatory Technology (RegTech) for Sustainability,0.06413944343563852,Poor
15,M49,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version),0.0463416599832523,Poor
16,M52,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Duplicate,0.0463416599832523,Poor
17,M53,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Triple Duplicate,0.0463416599832523,Poor
18,M64,Behavioral Insights for Sustainability Transformation,0.04301767644728935,Poor
19,M40,Advanced Sustainability Impact Assessment Methods,0.04267401721342164,Poor
20,M50,Advanced Sustainability Impact Assessment Methods,0.04267401721342164,Poor
21,OM10,Advanced Sustainability Impact Assessment Methods,0.04267401721342164,Poor
22,M59,Digital Storytelling for Sustainability Impact,0.04242728316264602,Poor
23,M30,Human-Centered Design for Sustainable Tech,0.04152741514375642,Poor
24,M92,Digital Sustainability Foundation,0.04147682065901585,Poor
25,M61,Technology Assessment for Sustainability,0.040730797739191124,Poor
26,M74,Sustainability Data Science and Predictive Analytics,0.04050730070234388,Poor
27,M44,Advanced Sustainability Impact Assessment,0.039729835542359905,Poor
28,M72,Sustainability Data Engineering and Architecture,0.03899799338260995,Poor
29,M3,Data Analytics for Sustainability,0.03835740499231316,Poor
30,M29,Blockchain for Sustainability Traceability,0.03788231556837318,Poor
31,M20,Data Ethics and Governance in Practice,0.03761153482374129,Poor
32,M28,Strategic Digital Sustainability Leadership,0.03695069759741031,Poor
33,M58,Public Engagement and Science Communication,0.036776796887551505,Poor
34,M73,Business-Technical Sustainability Bridge,0.03314928927298096,Poor
35,M7,Ethics and Governance in Digital Innovation,0.030690650928660388,Poor
36,M12,Advanced Visualisation for Sustainability Reporting,0.02981333768574594,Poor
37,M8,Work-based Sustainability Project,0.028579762841049666,Poor
38,M38,Introduction to Green IT,0.026395442452938775,Poor
39,OM8,Introduction to Green IT,0.026395442452938775,Poor
40,M71,Green Software Development Practices,0.02551675370379931,Poor
41,M67,Digital Sustainability Legislation and Policy,0.0243932440772225,Poor
42,M27,Green IT Service Management,0.02403202784639105,Poor
43,M16,DevOps and Sustainable Deployment,0.023420516484217866,Poor
44,M26,AI for Sustainable Decision-Making,0.023283720274092094,Poor
45,M48,AI for Sustainable Decision-Making (EQF 8 Version),0.023283720274092094,Poor
46,M51,AI for Sustainable Decision-Making (EQF 8 Version) - Duplicate,0.023283720274092094,Poor
47,M32,Sustainable IT Strategy,0.02267853400975815,Poor
48,OM2,Sustainable IT Strategy,0.02267853400975815,Poor
49,M31,Introduction to Digital Sustainability,0.02256014988246516,Poor
50,M39,Sustainable IT for Small Organizations,0.02256014988246516,Poor
