rank,module_id,module_name,quality_score,suitability
1,M20,Data Ethics and Governance in Practice,0.13687920903674536,Poor
2,M72,Sustainability Data Engineering and Architecture,0.10727730981555489,Poor
3,M55,Global Climate Technology Governance,0.08999595400679032,Poor
4,M90,Sustainability Data Fundamentals,0.08655266463520395,Poor
5,M11,Big Data for Environmental Intelligence,0.08517301107888155,Poor
6,M45,Big Data for Environmental Intelligence (EQF 4 Version),0.08517301107888155,Poor
7,M32,Sustainable IT Strategy,0.08292847060285849,Poor
8,OM2,Sustainable IT Strategy,0.08292847060285849,Poor
9,M61,Technology Assessment for Sustainability,0.07662365228081197,Poor
10,M3,Data Analytics for Sustainability,0.0626508395620469,Poor
11,M67,Digital Sustainability Legislation and Policy,0.0626508395620469,Poor
12,M74,Sustainability Data Science and Predictive Analytics,0.05927284843146693,Poor
13,M14,Sustainable Digital Transformation Strategy,0.058619320013036214,Poor
14,M49,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version),0.03738651985417853,Poor
15,M52,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Duplicate,0.03738651985417853,Poor
16,M53,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Triple Duplicate,0.03738651985417853,Poor
17,M89,ESG Reporting Essentials,0.03595695101328241,Poor
18,M93,Digital Inclusion and Social Sustainability,0.035459731600563406,Poor
19,M37,Net-Zero IT Infrastructure,0.028361227702706993,Poor
20,OM7,Net-Zero IT Infrastructure,0.028361227702706993,Poor
21,M7,Ethics and Governance in Digital Innovation,0.02737188255028698,Poor
22,M22,Sustainable ICT Procurement and Policy,0.026076742790176268,Poor
23,M69,Sustainable IT Operations and DevOps,0.02530350261389016,Poor
24,OM1,Digital Sustainability Fundamentals,0.02485571660597329,Poor
25,M10,Circular Economy and Lifecycle Thinking,0.024430891951209045,Poor
26,M12,Advanced Visualisation for Sustainability Reporting,0.024430891951209045,Poor
27,M42,Sector-specific Green IT Applications,0.024430891951209045,Poor
28,M6,Systems Architecture for Sustainability,0.023978147829080195,Poor
29,M13,Low-Carbon Cloud Infrastructure,0.023642749002432236,Poor
30,M46,Sustainable Business Models for Digital Companies (EQF 4 Version),0.02327624352066482,Poor
31,M63,Smart Manufacturing and Industry 4.0 Sustainability,0.022591623577600115,Poor
32,M30,Human-Centered Design for Sustainable Tech,0.022591623577600112,Poor
33,M58,Public Engagement and Science Communication,0.021964064559628422,Poor
34,M57,Sustainability Economics and Market Mechanisms,0.021857623585919646,Poor
35,M4,Machine Learning and Predictive Modeling,0.021792788231329095,Poor
36,M59,Digital Storytelling for Sustainability Impact,0.021386056430019427,Poor
37,M73,Business-Technical Sustainability Bridge,0.020598688506826095,Poor
38,M91,Green ICT Principles,0.020598688506826095,Poor
39,M9,Technical Implementation and Tool Support,0.019988885411051826,Poor
40,M2,Sustainability Frameworks and Standards,0.019679021440630384,Poor
41,M21,Energy-Efficient Software Architecture,0.019679021440630384,Poor
42,M24,Collaborative Tools for Green Innovation,0.019679021440630384,Poor
43,M68,Regulatory Technology (RegTech) for Sustainability,0.019679021440630384,Poor
44,M70,ICT Energy Consumption and Carbon Footprint Management,0.019100205940341754,Poor
45,M71,Green Software Development Practices,0.019100205940341754,Poor
46,M28,Strategic Digital Sustainability Leadership,0.018829315296121123,Poor
47,M26,AI for Sustainable Decision-Making,0.018734481328346948,Poor
48,M48,AI for Sustainable Decision-Making (EQF 8 Version),0.018734481328346948,Poor
49,M51,AI for Sustainable Decision-Making (EQF 8 Version) - Duplicate,0.018734481328346948,Poor
50,M60,Systematic Innovation for Sustainability Challenges,0.018734481328346948,Poor
51,M64,Behavioral Insights for Sustainability Transformation,0.01856963289667336,Poor
52,M1,Introduction to Digital Sustainability,0.018320406555058854,Poor
53,M66,ESG Reporting and Compliance Framework,0.017209193938575427,Poor
54,M94,Circular Economy for Digital Systems,0.017203428953410465,Poor
55,M92,Digital Sustainability Foundation,0.01466850270468142,Poor
56,M65,Community-Based Participatory Sustainability Research,0.014424035981387646,Poor
57,M62,Digital Health for Planetary Health,0.014027155811248438,Poor
58,M15,Applied Ethics in AI for Sustainability,0.0,Poor
59,M16,DevOps and Sustainable Deployment,0.0,Poor
60,M17,Digital Circular Business Models,0.0,Poor
61,M18,AI-Driven Environmental Risk Modelling,0.0,Poor
62,M19,Sustainability Assessment and Benchmarking,0.0,Poor
63,M23,Digital Twin and Smart Systems for Green Transition,0.0,Poor
64,M25,Digital Sustainability in SMEs,0.0,Poor
65,M27,Green IT Service Management,0.0,Poor
66,M29,Blockchain for Sustainability Traceability,0.0,Poor
67,M31,Introduction to Digital Sustainability,0.0,Poor
68,M33,Green Software Engineering,0.0,Poor
69,M34,Industry Collaboration Project,0.0,Poor
70,M35,Sustainable IT Consultancy,0.0,Poor
71,M36,Eco-design for Digital Products,0.0,Poor
72,M38,Introduction to Green IT,0.0,Poor
73,M39,Sustainable IT for Small Organizations,0.0,Poor
74,M40,Advanced Sustainability Impact Assessment Methods,0.0,Poor
