rank,module_id,module_name,quality_score,suitability
1,M8,Work-based Sustainability Project,0.32023895344693537,Moderate
2,M58,Public Engagement and Science Communication,0.10240211614484858,Poor
3,M24,Collaborative Tools for Green Innovation,0.08950190319416344,Poor
4,M46,Sustainable Business Models for Digital Companies (EQF 4 Version),0.08950190319416344,Poor
5,M73,Business-Technical Sustainability Bridge,0.0871855532630564,Poor
6,M60,Systematic Innovation for Sustainability Challenges,0.08272586796539201,Poor
7,M18,AI-Driven Environmental Risk Modelling,0.07776746717303244,Poor
8,M33,Green Software Engineering,0.07155468169722087,Poor
9,OM3,Green Software Engineering,0.07155468169722087,Poor
10,M22,Sustainable ICT Procurement and Policy,0.0670272792647367,Poor
11,M4,Machine Learning and Predictive Modeling,0.06246618759059739,Poor
12,M17,Digital Circular Business Models,0.0593923100044827,Poor
13,M90,Sustainability Data Fundamentals,0.04320377917060149,Poor
14,M28,Strategic Digital Sustainability Leadership,0.04252320150929591,Poor
15,M26,AI for Sustainable Decision-Making,0.042238090384510575,Poor
16,M48,AI for Sustainable Decision-Making (EQF 8 Version),0.042238090384510575,Poor
17,M51,AI for Sustainable Decision-Making (EQF 8 Version) - Duplicate,0.042238090384510575,Poor
18,M9,Technical Implementation and Tool Support,0.04180659865450488,Poor
19,M61,Technology Assessment for Sustainability,0.03955483149487523,Poor
20,M69,Sustainable IT Operations and DevOps,0.0376836518928494,Poor
21,M94,Circular Economy for Digital Systems,0.035465072067286746,Poor
22,M32,Sustainable IT Strategy,0.0309657898986745,Poor
23,OM2,Sustainable IT Strategy,0.0309657898986745,Poor
24,M16,DevOps and Sustainable Deployment,0.029350572855126995,Poor
25,M7,Ethics and Governance in Digital Innovation,0.02737188255028698,Poor
26,M6,Systems Architecture for Sustainability,0.027371882550286972,Poor
27,M31,Introduction to Digital Sustainability,0.026218087045717514,Poor
28,M34,Industry Collaboration Project,0.026218087045717514,Poor
29,M39,Sustainable IT for Small Organizations,0.026218087045717514,Poor
30,OM4,Industry Collaboration Project,0.026218087045717514,Poor
31,OM9,Sustainable IT for Small Organizations,0.026218087045717514,Poor
32,M19,Sustainability Assessment and Benchmarking,0.02577639581302501,Poor
33,M40,Advanced Sustainability Impact Assessment Methods,0.025776395813025006,Poor
34,M50,Advanced Sustainability Impact Assessment Methods,0.025776395813025006,Poor
35,OM10,Advanced Sustainability Impact Assessment Methods,0.025776395813025006,Poor
36,M12,Advanced Visualisation for Sustainability Reporting,0.025313936238602144,Poor
37,M5,Sustainable Software Engineering,0.02530350261389016,Poor
38,M10,Circular Economy and Lifecycle Thinking,0.024430891951209045,Poor
39,M42,Sector-specific Green IT Applications,0.024430891951209045,Poor
40,M3,Data Analytics for Sustainability,0.02411755352743584,Poor
41,M43,Circular Economy Digital Applications,0.0240271310931365,Poor
42,M2,Sustainability Frameworks and Standards,0.023987533452253875,Poor
43,M67,Digital Sustainability Legislation and Policy,0.023987533452253875,Poor
44,M68,Regulatory Technology (RegTech) for Sustainability,0.023987533452253875,Poor
45,M23,Digital Twin and Smart Systems for Green Transition,0.02375493099347953,Poor
46,M74,Sustainability Data Science and Predictive Analytics,0.023585564831343105,Poor
47,M37,Net-Zero IT Infrastructure,0.02314170081178671,Poor
