rank,module_id,module_name,quality_score,suitability
1,M6,Systems Architecture for Sustainability,0.15237051562573573,Poor
2,M30,Human-Centered Design for Sustainable Tech,0.1395956597675014,Poor
3,M33,Green Software Engineering,0.13827218461054874,Poor
4,OM3,Green Software Engineering,0.13827218461054874,Poor
5,M61,Technology Assessment for Sustainability,0.1352337805607078,Poor
6,M94,Circular Economy for Digital Systems,0.1317105155469657,Poor
7,M55,Global Climate Technology Governance,0.12464215768990516,Poor
8,M22,Sustainable ICT Procurement and Policy,0.11319092459203495,Poor
9,M91,Green ICT Principles,0.1112774127972764,Poor
10,M29,Blockchain for Sustainability Traceability,0.11047238195463063,Poor
11,M36,Eco-design for Digital Products,0.10775007007107466,Poor
12,OM6,Eco-design for Digital Products,0.10775007007107466,Poor
13,M8,Work-based Sustainability Project,0.10015823126252198,Poor
14,M46,Sustainable Business Models for Digital Companies (EQF 4 Version),0.0932764837763064,Poor
15,M27,Green IT Service Management,0.09126373585445464,Poor
16,M63,Smart Manufacturing and Industry 4.0 Sustainability,0.08738050386473767,Poor
17,M18,AI-Driven Environmental Risk Modelling,0.0845211554662891,Poor
18,M21,Energy-Efficient Software Architecture,0.08436197432682045,Poor
19,M16,DevOps and Sustainable Deployment,0.08294860363117955,Poor
20,M71,Green Software Development Practices,0.0829314590624145,Poor
21,M70,ICT Energy Consumption and Carbon Footprint Management,0.07913586954702855,Poor
22,M57,Sustainability Economics and Market Mechanisms,0.07627224580440542,Poor
23,M66,ESG Reporting and Compliance Framework,0.07312334280378073,Poor
24,M64,Behavioral Insights for Sustainability Transformation,0.06639158514552623,Poor
25,M17,Digital Circular Business Models,0.06267693819645599,Poor
26,M37,Net-Zero IT Infrastructure,0.06224195263520573,Poor
27,OM7,Net-Zero IT Infrastructure,0.06224195263520573,Poor
28,M20,Data Ethics and Governance in Practice,0.05958790782401805,Poor
29,M73,Business-Technical Sustainability Bridge,0.05878793163876417,Poor
30,M93,Digital Inclusion and Social Sustainability,0.05715293470010627,Poor
31,M49,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version),0.05240482198501205,Poor
32,M52,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Duplicate,0.05240482198501205,Poor
33,M53,Interdisciplinary Approaches to Digital Sustainability (EQF 8 Version) - Triple Duplicate,0.05240482198501205,Poor
34,M26,AI for Sustainable Decision-Making,0.042431568884711925,Poor
35,M48,AI for Sustainable Decision-Making (EQF 8 Version),0.042431568884711925,Poor
36,M51,AI for Sustainable Decision-Making (EQF 8 Version) - Duplicate,0.042431568884711925,Poor
37,M38,Introduction to Green IT,0.04127506821355037,Poor
38,OM8,Introduction to Green IT,0.04127506821355037,Poor
39,M69,Sustainable IT Operations and DevOps,0.03989907567439288,Poor
