module_id,module_name,framework,framework_name,quality_score,max_similarity,alignment_rate,suitability,thematic_area,eqf_level
M1,Introduction to Digital Sustainability,ESCO,"European Skills, Competences, Qualifications and Occupations",0.1351231418316279,0.24824800252693643,0.1,Poor,General,6
M10,Circular Economy and Lifecycle Thinking,ESCO,"European Skills, Competences, Qualifications and Occupations",0.026060510635334464,0.058869619159539865,0.0,Poor,General,6
M11,Big Data for Environmental Intelligence,ESCO,"European Skills, Competences, Qualifications and Occupations",0.13629027821620623,0.24824800252693643,0.1,Poor,Data,6
M12,Advanced Visualisation for Sustainability Reporting,ESCO,"European Skills, Competences, Qualifications and Occupations",0.09640255586263569,0.1897672843384491,0.05,Poor,Data,6
M13,Low-Carbon Cloud Infrastructure,ESCO,"European Skills, Competences, Qualifications and Occupations",0.0,0.0,0.0,Poor,Technical Implementation,6
M14,Sustainable Digital Transformation Strategy,ESCO,"European Skills, Competences, Qualifications and Occupations",0.10056846716801317,0.16319486256720964,0.1,Poor,General,6
M15,Applied Ethics in AI for Sustainability,ESCO,"European Skills, Competences, Qualifications and Occupations",0.08828455282922143,0.17475038236070678,0.05,Poor,Ethics & Governance,6
M16,DevOps and Sustainable Deployment,ESCO,"European Skills, Competences, Qualifications and Occupations",0.028361227702706986,0.0659563434946674,0.0,Poor,Technical Implementation,6
M17,Digital Circular Business Models,ESCO,"European Skills, Competences, Qualifications and Occupations",0.09038177008690762,0.13797394741164487,0.1,Poor,General,6
M18,AI-Driven Environmental Risk Modelling,ESCO,"European Skills, Competences, Qualifications and Occupations",0.12717621225554582,0.2161094500683864,0.1,Poor,Data,6
M19,Sustainability Assessment and Benchmarking,ESCO,"European Skills, Competences, Qualifications and Occupations",0.11764555508591361,0.20199309249791833,0.1,Poor,Analysis,6
M2,Sustainability Frameworks and Standards,ESCO,"European Skills, Competences, Qualifications and Occupations",0.09105450313252351,0.17952265829918904,0.05,Poor,Management,6
M20,Data Ethics and Governance in Practice,ESCO,"European Skills, Competences, Qualifications and Occupations",0.11709819345206793,0.20455982299556305,0.1,Poor,Data,6
M21,Energy-Efficient Software Architecture,ESCO,"European Skills, Competences, Qualifications and Occupations",0.023276243520664822,0.0560873337847345,0.0,Poor,Technical Implementation,6
M22,Sustainable ICT Procurement and Policy,ESCO,"European Skills, Competences, Qualifications and Occupations",0.026076742790176268,0.06097229545515701,0.0,Poor,Management,6
M23,Digital Twin and Smart Systems for Green Transition,ESCO,"European Skills, Competences, Qualifications and Occupations",0.09543387877412123,0.149188650396373,0.1,Poor,Technical Implementation,6
M24,Collaborative Tools for Green Innovation,ESCO,"European Skills, Competences, Qualifications and Occupations",0.10852167670605964,0.17952265829918904,0.1,Poor,Analysis,6
M25,Digital Sustainability in SMEs,ESCO,"European Skills, Competences, Qualifications and Occupations",0.10161104849237086,0.16560867635473497,0.1,Poor,Management,4
M26,AI for Sustainable Decision-Making,ESCO,"European Skills, Competences, Qualifications and Occupations",0.08569108621304668,0.16319486256720964,0.05,Poor,Data,7
M27,Green IT Service Management,ESCO,"European Skills, Competences, Qualifications and Occupations",0.0680566040951074,0.12784723878339133,0.05,Poor,Management,5
M28,Strategic Digital Sustainability Leadership,ESCO,"European Skills, Competences, Qualifications and Occupations",0.09385435929251738,0.14438355527738675,0.1,Poor,Management,8
M29,Blockchain for Sustainability Traceability,ESCO,"European Skills, Competences, Qualifications and Occupations",0.061900975687697646,0.1130143992474642,0.05,Poor,Technical Implementation,7
M3,Data Analytics for Sustainability,ESCO,"European Skills, Competences, Qualifications and Occupations",0.11309921675813726,0.19375030574373353,0.1,Poor,Data,6
M30,Human-Centered Design for Sustainable Tech,ESCO,"European Skills, Competences, Qualifications and Occupations",0.04218777895109195,0.09409088178026434,0.0,Poor,Analysis,6
M31,Introduction to Digital Sustainability,ESCO,"European Skills, Competences, Qualifications and Occupations",0.026218087045717514,0.06097229545515701,0.0,Poor,Technical Implementation,6
M32,Sustainable IT Strategy,ESCO,"European Skills, Competences, Qualifications and Occupations",0.07843388933293997,0.15064018498706513,0.05,Poor,Management,7
M33,Green Software Engineering,ESCO,"European Skills, Competences, Qualifications and Occupations",0.07254402684964088,0.13627634143908643,0.05,Poor,Technical Implementation,6
M34,Industry Collaboration Project,ESCO,"European Skills, Competences, Qualifications and Occupations",0.11408837066062216,0.19765912494786975,0.1,Poor,Management,7
M35,Sustainable IT Consultancy,ESCO,"European Skills, Competences, Qualifications and Occupations",0.030848719803918817,0.07433426458775619,0.0,Poor,Management,7
M36,Eco-design for Digital Products,ESCO,"European Skills, Competences, Qualifications and Occupations",0.07380516815872559,0.13797394741164487,0.05,Poor,Technical Implementation,6
M37,Net-Zero IT Infrastructure,ESCO,"European Skills, Competences, Qualifications and Occupations",0.02314170081178671,0.055763134486233025,0.0,Poor,Technical Implementation,6
M38,Introduction to Green IT,ESCO,"European Skills, Competences, Qualifications and Occupations",0.030848719803918817,0.07433426458775619,0.0,Poor,Technical Implementation,4
M39,Sustainable IT for Small Organizations,ESCO,"European Skills, Competences, Qualifications and Occupations",0.026218087045717514,0.06097229545515701,0.0,Poor,Technical Implementation,4
M4,Machine Learning and Predictive Modeling,ESCO,"European Skills, Competences, Qualifications and Occupations",0.12141782564006837,0.21614983206136978,0.1,Poor,Data,7
M40,Advanced Sustainability Impact Assessment Methods,ESCO,"European Skills, Competences, Qualifications and Occupations",0.08497431267685827,0.12784723878339133,0.1,Poor,Analysis,8
