module_id,module_name,thematic_area,versatility_score,consistency_score,excellent_frameworks,good_frameworks,versatility_class
M1,Introduction to Digital Sustainability,General,0.08866748249656176,0.8917016200998736,0,0,Specialized
M10,Circular Economy and Lifecycle Thinking,General,0.0377671039103607,0.9577289986311034,0,0,Specialized
M11,Big Data for Environmental Intelligence,Data,0.07377283631999278,0.9533761413279279,0,0,Specialized
M12,Advanced Visualisation for Sustainability Reporting,Data,0.03373851289088925,0.9725280194695751,0,0,Specialized
M13,Low-Carbon Cloud Infrastructure,Technical Implementation,0.025025185863562022,0.9555588687943185,0,0,Specialized
M14,Sustainable Digital Transformation Strategy,General,0.08148396479929283,0.9132741648760977,0,0,Specialized
M15,Applied Ethics in AI for Sustainability,Ethics & Governance,0.02301789763644026,0.9709656340664309,0,0,Specialized
M16,DevOps and Sustainable Deployment,Technical Implementation,0.038748931064264414,0.9620751551207015,0,0,Specialized
M17,Digital Circular Business Models,General,0.0945660228578163,0.8922301982500139,0,0,Specialized
M18,AI-Driven Environmental Risk Modelling,Data,0.04482747085544686,0.9523544275843487,0,0,Specialized
M19,Sustainability Assessment and Benchmarking,Analysis,0.029205900389617838,0.9613800654372551,0,0,Specialized
M2,Sustainability Frameworks and Standards,Management,0.034421915396340576,0.9765389692201867,0,0,Specialized
M20,Data Ethics and Governance in Practice,Data,0.08857397178148088,0.9478011563384707,0,0,Specialized
M21,Energy-Efficient Software Architecture,Technical Implementation,0.035755896142797436,0.9619883719300014,0,0,Specialized
M22,Sustainable ICT Procurement and Policy,Management,0.042881744125449574,0.9614738730831149,0,0,Specialized
M23,Digital Twin and Smart Systems for Green Transition,Technical Implementation,0.0840187034719188,0.8953161271189815,0,0,Specialized
M24,Collaborative Tools for Green Innovation,Analysis,0.08287629403350694,0.955605677474201,0,0,Specialized
M25,Digital Sustainability in SMEs,Management,0.07552138070971219,0.9097747611155622,0,0,Specialized
M26,AI for Sustainable Decision-Making,Data,0.03705391554342913,0.9782393162018611,0,0,Specialized
M27,Green IT Service Management,Management,0.029988064964267074,0.966301819381314,0,0,Specialized
M28,Strategic Digital Sustainability Leadership,Management,0.09217991302198722,0.8965130379358245,0,0,Specialized
M29,Blockchain for Sustainability Traceability,Technical Implementation,0.04168776424404277,0.9586691438389944,0,0,Specialized
M3,Data Analytics for Sustainability,Data,0.054282790893145486,0.9629100328710378,0,0,Specialized
M30,Human-Centered Design for Sustainable Tech,Analysis,0.08511289667456966,0.9326749357714197,0,0,Specialized
M31,Introduction to Digital Sustainability,Technical Implementation,0.02558575936185379,0.9775911794728307,0,0,Specialized
M32,Sustainable IT Strategy,Management,0.04429731676152177,0.9764388764180851,0,0,Specialized
